"Compound","Assays"
"LSM-1040","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1183","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1809","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1751","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-5855","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1375","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-2791","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-3222","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-3847","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1418","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1004","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-5612","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1273","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1651","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-2499","L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##P100 phosphoprotein quantification assay##Aggregated small molecule biochemical target activity"
"LSM-5803","L1000 mRNA profiling assay##KiNativ kinase-small molecule binding assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay"
"LSM-5451","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-43181","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay"
"LSM-4374","Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##L1000 mRNA profiling assay##Aggregated small molecule biochemical target activity"
"LSM-6639","Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##L1000 mRNA profiling assay##Aggregated small molecule biochemical target activity"
"LSM-6720","Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##L1000 mRNA profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1135","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging cell count assay##Aggregated small molecule biochemical target activity"
"LSM-44525","Fluorescence imaging protein state assay##Bead-based immunoassay for protein state##KINOMEscan kinase-small molecule binding assay##KiNativ kinase-small molecule binding assay"
"LSM-43287","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##KiNativ kinase-small molecule binding assay"
"LSM-1148","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##Aggregated small molecule biochemical target activity##KINOMEscan kinase-small molecule binding assay"
"LSM-1159","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-5577","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##KiNativ kinase-small molecule binding assay"
"LSM-6332","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-6306","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##KINOMEscan kinase-small molecule binding assay"
"LSM-6338","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-6334","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-43248","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##KiNativ kinase-small molecule binding assay"
"LSM-6335","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-36386","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1132","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-36971","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-42758","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-42752","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-36364","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-36368","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-42761","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-36363","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1105","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##KINOMEscan kinase-small molecule binding assay"
"LSM-5333","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Fluorescence imaging cell growth inhibition assay"
"LSM-4276","Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-42798","Fluorescence imaging cell count assay##Fluorescence imaging protein state assay##L1000 mRNA profiling assay"
"LSM-1147","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay"
"LSM-5662","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5732","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4620","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4261","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Aggregated small molecule biochemical target activity"
"LSM-6302","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##Aggregated small molecule biochemical target activity"
"LSM-1022","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1052","Fluorescence imaging cell growth inhibition assay##Fluorescence imaging drug synergy assay##Fluorescence imaging cell count assay"
"LSM-1043","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay"
"LSM-1151","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2340","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4299","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5582","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2314","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3610","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3190","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2286","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
